scope,n_res,n,f1_mean,auc_mean,ap_mean,acc_mean,bacc_mean,prec_mean,rec_mean,jac_mean,f1_std,auc_std,ap_std,acc_std,bacc_std,prec_std,rec_std,jac_std
d.87,21134.0,20.0,0.3939642811452954,0.9042828125977603,0.37344631648959237,0.8527503698534717,0.8197353713101563,0.272653714191999,0.7856580651414783,0.2539621922199402,0.1351954372172117,0.030048879703515517,0.19794194635133508,0.04228036588183877,0.053185150045081155,0.11773709184620562,0.1387411188669816,0.10877247902503635
e.75,3426.0,4.0,0.019645550527903424,0.5454223217154226,0.04554898476468022,0.9130189858731277,0.48590363265778747,0.019926583964115476,0.019923769923769902,0.009954287006525776,0.013321119758405766,0.010017871361336894,0.004064377447256799,0.008170873028939296,0.00927102902640503,0.014487896368753311,0.013298573154813212,0.006752809447424813
a.104,40374.0,71.0,0.373501912915928,0.8938191760581672,0.4454372261897251,0.860974533816503,0.7869949561093947,0.26106704961033683,0.7068925179466553,0.2362543422744529,0.12320085315498146,0.06579595267859738,0.2057812307895194,0.047523632039238574,0.10222579074958361,0.08823048686905284,0.23720321221424845,0.08902852399163545
e.52,2988.0,3.0,0.20301851757318967,0.8373478808659245,0.12132745721873044,0.8353413654618475,0.6837889283233171,0.12640188670525573,0.5196056307758435,0.1140316405753472,0.06726518500124136,0.01600741457420611,0.028420699263209576,0.0017390068349084687,0.061203361900007885,0.044641110211877326,0.1238448199864519,0.04224733559807031
d.387,1436.0,4.0,0.5398361555724116,0.9407197441378747,0.6838458506865024,0.837069694288004,0.8652233579477089,0.39273819334680965,0.9000261889796772,0.3752333391699755,0.11007960585016509,0.02964395232629661,0.16081054226671093,0.04647165394830511,0.036465825463375595,0.10753965905086987,0.0516370996571335,0.09776094086953324
c.77,12825.0,13.0,0.3144426252878778,0.8660516909623117,0.30434429320853407,0.8848985434502534,0.701948255011841,0.2533616492926823,0.50136693934944,0.19227445091746276,0.1227666251139286,0.05880996024561615,0.1472428721083771,0.062229287185711996,0.10771245285924286,0.10746522990675143,0.2491646414963005,0.0854950291101862
d.129,2506.0,11.0,0.4552335951555593,0.8479812363926015,0.5482281406910825,0.7543674352432816,0.7673782242620321,0.32404410460547367,0.7942198428858508,0.30417554527110996,0.14197287253169416,0.07241213437434646,0.2079314699170812,0.057295823464637755,0.0804657077396935,0.11731664131891203,0.18315989409451192,0.11426133126720613
b.82,17972.0,59.0,0.36231348364988714,0.8152591265096553,0.403149439734353,0.768534855402838,0.7227856613444548,0.2547775572727096,0.6736087698171483,0.22895349879430452,0.13374463604047793,0.0944922310941414,0.19996165640659264,0.09473722400479491,0.10458907982291676,0.10577788456729606,0.23178990387238851,0.09672717859191195
b.81,8997.0,16.0,0.274668582513298,0.7474859221491446,0.2412553511084401,0.8063697619852557,0.6542252101218411,0.20236484417120343,0.48153956532175646,0.16603885537816537,0.13774856668905958,0.14852741759389745,0.15130682117132488,0.09377085732245655,0.1199081981621386,0.11315340077879846,0.23991697865691902,0.09153545314637587
d.2,443.0,2.0,0.5400848999393572,0.9180994944023113,0.6527474132015316,0.7817483829556116,0.8248230408089563,0.3865671641791045,0.8966666666666667,0.3703324225865209,0.034819327248239974,0.007102988486350349,0.08254091122696607,0.09697274896290108,0.02531437169339932,0.018996898599041575,0.08956685895029597,0.03268275878435086
c.67,53728.0,68.0,0.3730880356831169,0.9369807835267988,0.4284817247666049,0.8625766787414223,0.8624291043135325,0.24375064978103628,0.8644706961854283,0.23622702786464161,0.1204214202540421,0.030040876830043722,0.21106030176263307,0.03118666708823417,0.05602665026696748,0.09658734670969332,0.13038236467919667,0.095121572145836
c.78,1920.0,4.0,0.4183305941370457,0.8928877691320191,0.5563113962475165,0.8902971906680182,0.7821977530836219,0.30684152448858326,0.661952861952862,0.2703889938631635,0.12779659608792462,0.0641364512261906,0.2839126011791049,0.0246868785178149,0.09735358880218264,0.09288871137964483,0.21757564294546733,0.09751890365924301
c.117,543.0,1.0,0.2696629213483146,0.8352895752895753,0.2663551485810672,0.8802946593001841,0.6898069498069498,0.1875,0.48,0.1558441558441558,,,,,,,,
